datahora,favor,contra
2016-09-04 03:49:29,117229,11308
2016-09-04 03:50:01,117233,11308
2016-09-04 03:50:33,117235,11308
2016-09-04 03:51:04,117237,11308
2016-09-04 03:51:36,117243,11308
2016-09-04 03:52:07,117247,11308
2016-09-04 03:52:38,117253,11308
2016-09-04 03:53:10,117259,11308
2016-09-04 03:53:42,117261,11308
2016-09-04 03:54:13,117264,11308
2016-09-04 03:54:45,117267,11309
2016-09-04 03:55:16,117269,11309
2016-09-04 03:55:49,117275,11310
2016-09-04 03:56:21,117277,11311
2016-09-04 03:56:52,117277,11311
2016-09-04 03:57:23,117282,11311
2016-09-04 03:57:54,117287,11311
2016-09-04 03:58:26,117291,11311
2016-09-04 03:58:57,117294,11311
2016-09-04 03:59:29,117297,11313
2016-09-04 04:00:01,117297,11313
2016-09-04 04:01:22,117304,11313
2016-09-04 04:01:53,117305,11313
2016-09-04 04:02:25,117306,11313
2016-09-04 04:02:56,117310,11313
2016-09-04 04:03:27,117313,11313
2016-09-04 04:03:59,117314,11314
2016-09-04 04:04:30,117316,11314
2016-09-04 04:05:01,117320,11314
2016-09-04 04:05:33,117320,11314
2016-09-04 04:06:04,117329,11314
2016-09-04 04:06:35,117335,11315
2016-09-04 04:07:07,117336,11315
2016-09-04 04:07:38,117336,11315
2016-09-04 04:08:10,117343,11316
2016-09-04 04:08:41,117343,11316
2016-09-04 04:09:12,117347,11317
2016-09-04 04:09:43,117351,11317
2016-09-04 04:10:15,117354,11317
2016-09-04 04:10:46,117357,11318
2016-09-04 04:11:18,117359,11318
2016-09-04 04:11:49,117367,11318
2016-09-04 04:12:21,117369,11318
2016-09-04 04:12:52,117370,11318
2016-09-04 04:13:24,117374,11318
2016-09-04 04:13:55,117378,11319
2016-09-04 04:14:27,117378,11319
2016-09-04 04:14:59,117390,11319
2016-09-04 04:15:31,117393,11319
2016-09-04 04:16:02,117397,11320
2016-09-04 04:16:33,117400,11320
2016-09-04 04:17:04,117400,11320
2016-09-04 04:17:36,117402,11320
2016-09-04 04:18:07,117402,11320
2016-09-04 04:18:39,117404,11320
2016-09-04 04:19:10,117408,11320
2016-09-04 04:19:41,117409,11320
2016-09-04 04:20:13,117412,11320
2016-09-04 04:20:44,117418,11320
2016-09-04 04:21:30,117424,11321
2016-09-04 04:22:02,117425,11321
2016-09-04 04:22:33,117429,11321
2016-09-04 04:23:05,117430,11321
2016-09-04 04:23:36,117430,11321
2016-09-04 04:24:07,117430,11322
2016-09-04 04:24:39,117438,11322
2016-09-04 04:25:10,117438,11322
2016-09-04 04:25:41,117445,11322
2016-09-04 04:26:13,117447,11322
2016-09-04 04:26:44,117447,11322
2016-09-04 04:27:15,117448,11322
2016-09-04 04:27:47,117450,11322
2016-09-04 04:28:18,117452,11322
2016-09-04 04:28:49,117452,11322
2016-09-04 04:29:22,117457,11322
2016-09-04 04:29:53,117457,11322
2016-09-04 04:30:26,117467,11322
2016-09-04 04:30:57,117469,11322
2016-09-04 04:31:28,117469,11322
2016-09-04 04:32:00,117471,11323
2016-09-04 04:32:31,117474,11324
2016-09-04 04:33:03,117479,11324
2016-09-04 04:33:34,117479,11324
2016-09-04 04:34:05,117483,11324
2016-09-04 04:34:37,117483,11324
2016-09-04 04:35:08,117485,11324
2016-09-04 04:35:40,117486,11324
2016-09-04 04:36:11,117488,11324
2016-09-04 04:36:42,117493,11324
2016-09-04 04:37:13,117494,11324
2016-09-04 04:37:45,117496,11324
2016-09-04 04:38:16,117501,11324
2016-09-04 04:38:47,117501,11324
2016-09-04 04:39:19,117503,11325
2016-09-04 04:39:50,117503,11325
2016-09-04 04:40:22,117505,11325
2016-09-04 04:40:53,117509,11325
2016-09-04 04:42:12,117523,11325
2016-09-04 04:42:43,117526,11325
2016-09-04 04:43:15,117529,11325
2016-09-04 04:43:47,117532,11325
2016-09-04 04:44:19,117533,11325
2016-09-04 04:44:50,117534,11325
2016-09-04 04:45:21,117535,11325
2016-09-04 04:45:52,117538,11325
2016-09-04 04:46:24,117542,11325
